Pad 1,Pad 2,Pad 3,Previous Movement,Target
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
1,4,7,1,1
2,6,8,1,1
3,5,9,1,1
1,4,7,0,1
2,6,8,0,1
3,5,9,0,1
7,1,4,1,0
8,2,5,1,0
9,3,6,1,0
7,1,4,0,0
8,2,5,0,0
9,3,6,0,0
